inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
8185723199,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writer75dfb225-e2e4-4d39-9ac9-ffaff65ddf06.xml","xml",65534,65534,1628,59,48,1,"0100770",1690273961,1690273961,1690273961,-1,0
8185723200,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writer0bada1de-01a9-4625-8278-69e735f39dd2.xml","xml",65534,65534,3138,59,48,1,"0100770",1690273961,1690273961,1690273961,-1,0
8185723198,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writerd61d61c8-d73a-4eee-8cdd-f6f9786b7124.xml","xml",65534,65534,1746,59,48,1,"0100770",1690273960,1690273960,1690273960,-1,0
8187686305,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writer4dc3bdd4-ab48-4d07-adb0-3bee2926fd7f.xml","xml",65534,65534,2908,59,48,1,"0100770",1690273961,1690273961,1690273961,-1,0
8185723202,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writerbe000cbe-11fe-4426-9c58-531aa6355fc4.xml","xml",65534,65534,3988,59,48,1,"0100770",1690273961,1690273961,1690273961,-1,0
5961162727,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/5072dc23-8a78-11e5-80b4-806e6f6e6963.vhdx","vhdx",65534,65534,60945334272,59,133712928,1,"0100770",1690273967,1690273967,1690273967,-1,0
8185723201,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writere8132975-6f93-4464-a53e-1050253ae220.xml","xml",65534,65534,3982402,59,8864,1,"0100770",1690273961,1690273961,1690273961,-1,0
8187686307,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_Writerafbab4a2-367d-4d15-a586-71dbb18f8485.xml","xml",65534,65534,3828,59,48,1,"0100770",1690273962,1690273962,1690273962,-1,0
8185723204,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_RegistryExcludes.xml","xml",65534,65534,8560,59,144,1,"0100770",1690273962,1690273962,1690273962,-1,0
8185723205,5960898991,5,"/home/dsimsb/groups/dcback/research.computing/Tuesday/WindowsImageBackup/capaldi/Backup 2023-07-25 081513/3f17bb30-643b-406d-b3ce-36d2cfc8f4ab_AdditionalFilesc3b9f3c7-5e52-4d5e-8b20-19adc95a34c7.xml","xml",65534,65534,776,59,48,1,"0100770",1690273962,1690273962,1690273962,-1,0
