inode,parent-inode,directory-depth,"filename","fileExtension",UID,GID,st_size,st_dev,st_blocks,st_nlink,"st_mode",st_atime,st_mtime,st_ctime,pw_fcount,pw_dirsum
7279277528,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0158_502c.jpg","jpg",65534,65534,1163000,59,2832,1,"0100770",1638773792,1638773792,1638773805,-1,0
7310775843,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0098_38bd.jpg","jpg",65534,65534,545482,59,1632,1,"0100770",1638773599,1638773599,1638773607,-1,0
7312066031,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0079_54a2.jpg","jpg",65534,65534,535013,59,1616,1,"0100770",1638773537,1638773537,1638773547,-1,0
7312066027,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0051_2c04.jpg","jpg",65534,65534,515397,59,1568,1,"0100770",1638773450,1638773450,1638773451,-1,0
7283708453,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0357_2d36.jpg","jpg",65534,65534,127414,59,816,1,"0100770",1638774420,1638774420,1638774426,-1,0
7310776575,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0481_442a.jpg","jpg",65534,65534,620414,59,1776,1,"0100770",1638774801,1638774801,1638774811,-1,0
7311534809,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0081_4cce.jpg","jpg",65534,65534,492237,59,1536,1,"0100770",1638773544,1638773544,1638773547,-1,0
7323781968,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0495_5153.jpg","jpg",65534,65534,270422,59,1104,1,"0100770",1638774844,1638774844,1638774854,-1,0
7283708343,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0286_457a.jpg","jpg",65534,65534,164980,59,896,1,"0100770",1638774198,1638774198,1638774211,-1,0
7279277867,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0438_631b.jpg","jpg",65534,65534,543730,59,1632,1,"0100770",1638774673,1638774673,1638774683,-1,0
7283708325,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0274_3565.jpg","jpg",65534,65534,248297,59,1056,1,"0100770",1638774163,1638774163,1638774174,-1,0
7310776460,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0416_03cf.jpg","jpg",65534,65534,174499,59,912,1,"0100770",1638774606,1638774606,1638774613,-1,0
7310775958,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0161_17e9.jpg","jpg",65534,65534,427866,59,1408,1,"0100770",1638773802,1638773802,1638773810,-1,0
7310776136,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0255_7e8e.jpg","jpg",65534,65534,223279,59,1008,1,"0100770",1638774103,1638774103,1638774110,-1,0
7283708177,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0186_3cc1.jpg","jpg",65534,65534,965890,59,2448,1,"0100770",1638773882,1638773882,1638773896,-1,0
7279277382,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0027_4f27.jpg","jpg",65534,65534,493361,59,1536,1,"0100770",1638773376,1638773376,1638773376,-1,0
7279277881,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0455_38bd.jpg","jpg",65534,65534,768855,59,2064,1,"0100770",1638774725,1638774725,1638774737,-1,0
7279277801,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0381_3460.jpg","jpg",65534,65534,172422,59,912,1,"0100770",1638774496,1638774496,1638774506,-1,0
7310776535,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0459_7c27.jpg","jpg",65534,65534,259433,59,1072,1,"0100770",1638774735,1638774735,1638774747,-1,0
7283708239,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0217_3a83.jpg","jpg",65534,65534,685317,59,1904,1,"0100770",1638773983,1638773983,1638773987,-1,0
7311535241,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0458_1649.jpg","jpg",65534,65534,552393,59,1648,1,"0100770",1638774732,1638774732,1638774737,-1,0
7310775902,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0136_616d.jpg","jpg",65534,65534,441974,59,1424,1,"0100770",1638773719,1638773719,1638773735,-1,0
7279277562,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0189_0440.jpg","jpg",65534,65534,927443,59,2896,1,"0100770",1638773892,1638773892,1638773906,-1,0
7309094085,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0062_293b.jpg","jpg",65534,65534,599661,59,1744,1,"0100770",1638773483,1638773483,1638773494,-1,0
7310776388,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0378_2e26.jpg","jpg",65534,65534,211078,59,976,1,"0100770",1638774486,1638774486,1638774501,-1,0
7283708340,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0283_6aa0.jpg","jpg",65534,65534,268066,59,1088,1,"0100770",1638774189,1638774189,1638774195,-1,0
7283708318,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0268_4960.jpg","jpg",65534,65534,125048,59,816,1,"0100770",1638774144,1638774144,1638774158,-1,0
7283708162,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0177_5604.jpg","jpg",65534,65534,565284,59,1680,1,"0100770",1638773853,1638773853,1638773853,-1,0
7311534928,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0172_778f.jpg","jpg",65534,65534,519524,59,1584,1,"0100770",1638773837,1638773837,1638773847,-1,0
7279277407,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0046_4b1a.jpg","jpg",65534,65534,532282,59,1600,1,"0100770",1638773434,1638773434,1638773440,-1,0
7311534782,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0056_3ffa.jpg","jpg",65534,65534,490633,59,1520,1,"0100770",1638773465,1638773465,1638773467,-1,0
7312066017,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0020_37eb.jpg","jpg",65534,65534,412702,59,1376,1,"0100770",1638773353,1638773353,1638773366,-1,0
7310775714,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0030_3e18.jpg","jpg",65534,65534,461195,59,1472,1,"0100770",1638773385,1638773385,1638773398,-1,0
7311535209,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0433_43f3.jpg","jpg",65534,65534,225670,59,1008,1,"0100770",1638774658,1638774658,1638774667,-1,0
7279277692,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0292_5a2d.jpg","jpg",65534,65534,198393,59,960,1,"0100770",1638774217,1638774217,1638774228,-1,0
7279277469,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0104_3e01.jpg","jpg",65534,65534,423700,59,1392,1,"0100770",1638773618,1638773618,1638773619,-1,0
7310775940,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0153_6fd5.jpg","jpg",65534,65534,579616,59,1696,1,"0100770",1638773776,1638773776,1638773778,-1,0
7279277413,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0052_11a3.jpg","jpg",65534,65534,371160,59,1296,1,"0100770",1638773453,1638773453,1638773467,-1,0
7279277370,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0017_0f77.jpg","jpg",65534,65534,399013,59,1344,1,"0100770",1638773343,1638773343,1638773355,-1,0
7310776522,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0449_7234.jpg","jpg",65534,65534,691596,59,1920,1,"0100770",1638774708,1638774708,1638774720,-1,0
7279277486,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0118_6fd9.jpg","jpg",65534,65534,558468,59,1664,1,"0100770",1638773662,1638773662,1638773665,-1,0
7283708204,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0202_0dbb.jpg","jpg",65534,65534,611451,59,1760,1,"0100770",1638773934,1638773934,1638773949,-1,0
7311534749,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0029_6395.jpg","jpg",65534,65534,486672,59,1520,1,"0100770",1638773383,1638773383,1638773387,-1,0
7279277365,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0013_7a5e.jpg","jpg",65534,65534,585435,59,1712,1,"0100770",1638773330,1638773330,1638773339,-1,0
7283708199,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0198_1ce5.jpg","jpg",65534,65534,335786,59,1216,1,"0100770",1638773921,1638773921,1638773933,-1,0
7311534922,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0165_7bd6.jpg","jpg",65534,65534,427746,59,1408,1,"0100770",1638773814,1638773814,1638773826,-1,0
7309094077,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0022_16d9.jpg","jpg",65534,65534,533335,59,1616,1,"0100770",1638773359,1638773359,1638773371,-1,0
7283708188,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0191_661f.jpg","jpg",65534,65534,1090345,59,3216,1,"0100770",1638773898,1638773898,1638773906,-1,0
7283708008,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0072_6e7a.jpg","jpg",65534,65534,461900,59,1472,1,"0100770",1638773515,1638773515,1638773515,-1,0
7283708148,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0169_5a8a.jpg","jpg",65534,65534,421395,59,1392,1,"0100770",1638773827,1638773827,1638773831,-1,0
7311535184,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0408_5864.jpg","jpg",65534,65534,266250,59,1088,1,"0100770",1638774581,1638774581,1638774587,-1,0
7311534813,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0083_6e25.jpg","jpg",65534,65534,549920,59,1648,1,"0100770",1638773550,1638773550,1638773558,-1,0
7283708186,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0190_5ec3.jpg","jpg",65534,65534,1254530,59,3024,1,"0100770",1638773895,1638773895,1638773901,-1,0
7310776126,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0250_75f2.jpg","jpg",65534,65534,423457,59,1392,1,"0100770",1638774086,1638774086,1638774088,-1,0
7310776389,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0380_396f.jpg","jpg",65534,65534,161742,59,880,1,"0100770",1638774493,1638774493,1638774495,-1,0
7323781863,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0076_28bf.jpg","jpg",65534,65534,446298,59,1440,1,"0100770",1638773528,1638773528,1638773542,-1,0
7309094088,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0071_53c3.jpg","jpg",65534,65534,672237,59,1888,1,"0100770",1638773512,1638773512,1638773526,-1,0
7302732284,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0163_5abe.jpg","jpg",65534,65534,296450,59,1152,1,"0100770",1638773808,1638773808,1638773821,-1,0
7310776042,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0211_60de.jpg","jpg",65534,65534,494643,59,1536,1,"0100770",1638773962,1638773962,1638773965,-1,0
7283708158,7283707865,5,"/home/dsimsb/groups/derm_image_data/Raidshare3/IPTC2021/2021/12/pdir0097/damappprd_hi_j0175_1526.jpg","jpg",65534,65534,654426,59,1840,1,"0100770",1638773846,1638773846,1638773858,-1,0
